Image number;Picture;Method;Execution time (s);Valid match
8;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_008.png;TM_CCOEFF_NORMED;0.04799532890319824;True
8;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_008.png;TM_CCORR_NORMED;0.03498983383178711;True
8;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_008.png;TM_SQDIFF;0.044008493423461914;True
9;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_009.png;SIFT;0.48599910736083984;True
9;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_009.png;ORB;0.21900415420532227;True
9;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_009.png;TM_CCOEFF_NORMED;0.047027587890625;True
9;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_009.png;TM_CCORR_NORMED;0.03299689292907715;True
9;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_009.png;TM_SQDIFF;0.03803849220275879;True
10;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_010.png;SIFT;0.3059988021850586;False
10;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_010.png;ORB;0.0480036735534668;False
10;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_010.png;TM_CCOEFF_NORMED;0.05299997329711914;False
10;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_010.png;TM_CCORR_NORMED;0.0360414981842041;True
10;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_010.png;TM_SQDIFF;0.04100489616394043;True
11;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_001.png;SIFT;0.08503437042236328;False
11;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_001.png;ORB;0.03900027275085449;False
11;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_001.png;TM_CCOEFF_NORMED;0.009966611862182617;True
11;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_001.png;TM_CCORR_NORMED;0.007033348083496094;True
11;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_001.png;TM_SQDIFF;0.008001565933227539;True
12;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_002.png;SIFT;0.08900260925292969;True
12;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_002.png;ORB;0.07800030708312988;False
12;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_002.png;TM_CCOEFF_NORMED;0.009999513626098633;True
12;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_002.png;TM_CCORR_NORMED;0.007999658584594727;True
12;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_002.png;TM_SQDIFF;0.008999109268188477;True
13;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_003.png;SIFT;0.08399629592895508;False
13;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_003.png;ORB;0.05097007751464844;False
13;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_003.png;TM_CCOEFF_NORMED;0.01000070571899414;True
13;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_003.png;TM_CCORR_NORMED;0.007999420166015625;True
13;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_003.png;TM_SQDIFF;0.00899958610534668;True
14;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_004.png;SIFT;0.09403347969055176;True
14;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_004.png;ORB;0.09603238105773926;True
14;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_004.png;TM_CCOEFF_NORMED;0.00996541976928711;True
14;../storage/dataset_alter/dataset1/noise/img_10.png ../storage/dataset/dataset1_templates/128/img_10_004.png;TM_CCORR_NORMED;0.006999015808105469;True
