Image number;Picture;Method;Execution time (s);Valid match
8;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_008.png;TM_CCOEFF_NORMED;0.04200482368469238;False
8;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_008.png;TM_CCORR_NORMED;0.03200531005859375;False
8;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_008.png;TM_SQDIFF;0.035958290100097656;False
9;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_009.png;SIFT;0.2500128746032715;False
9;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_009.png;ORB;0.2420029640197754;False
9;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_009.png;TM_CCOEFF_NORMED;0.04098939895629883;False
9;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_009.png;TM_CCORR_NORMED;0.03097844123840332;False
9;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_009.png;TM_SQDIFF;0.03500008583068848;False
10;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_010.png;SIFT;0.24196171760559082;False
10;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_010.png;ORB;0.09003233909606934;False
10;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_010.png;TM_CCOEFF_NORMED;0.04096698760986328;False
10;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_010.png;TM_CCORR_NORMED;0.033998727798461914;False
10;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_010.png;TM_SQDIFF;0.034999847412109375;False
11;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_001.png;SIFT;0.07597184181213379;False
11;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_001.png;ORB;0.022006750106811523;False
11;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_001.png;TM_CCOEFF_NORMED;0.008003473281860352;False
11;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_001.png;TM_CCORR_NORMED;0.0069963932037353516;False
11;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_001.png;TM_SQDIFF;0.006999015808105469;False
12;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_002.png;SIFT;0.07299399375915527;False
12;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_002.png;ORB;0.0189974308013916;False
12;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_002.png;TM_CCOEFF_NORMED;0.007966279983520508;False
12;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_002.png;TM_CCORR_NORMED;0.005997896194458008;False
12;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_002.png;TM_SQDIFF;0.00599980354309082;False
13;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_003.png;SIFT;0.07000875473022461;False
13;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_003.png;ORB;0.01800084114074707;False
13;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_003.png;TM_CCOEFF_NORMED;0.00803232192993164;False
13;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_003.png;TM_CCORR_NORMED;0.005964994430541992;False
13;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_003.png;TM_SQDIFF;0.005989789962768555;False
14;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_004.png;SIFT;0.07899999618530273;False
14;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_004.png;ORB;0.027000904083251953;False
14;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_004.png;TM_CCOEFF_NORMED;0.009000778198242188;False
14;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_004.png;TM_CCORR_NORMED;0.0059871673583984375;False
14;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_004.png;TM_SQDIFF;0.00596308708190918;False
15;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_005.png;SIFT;0.07697319984436035;False
15;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_005.png;ORB;0.03100132942199707;False
15;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_005.png;TM_CCOEFF_NORMED;0.009000062942504883;False
15;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_005.png;TM_CCORR_NORMED;0.00699925422668457;False
15;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_005.png;TM_SQDIFF;0.007007598876953125;False
16;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_006.png;SIFT;0.07797455787658691;False
16;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_006.png;ORB;0.027004003524780273;False
16;../storage/dataset_alter/dataset1/blur/img_10.png ../storage/dataset/dataset1_templates/256/img_10_006.png;TM_CCOEFF_NORMED;0.008968114852905273;False
