Picture,Method,Match count,Execution time (s)
../storage/dataset/dataset1/img_19.png ../storage/dataset/dataset1_templates/128/img_19_002.png,SIFT,0,0.43558382987976074
../storage/dataset/dataset1/img_19.png ../storage/dataset/dataset1_templates/128/img_19_002.png,TM_CCOEFF_NORMED,6,0.1219947338104248
../storage/dataset/dataset1/img_2.png ../storage/dataset/dataset1_templates/128/img_2_001.png,SIFT,158,0.1329967975616455
../storage/dataset/dataset1/img_2.png ../storage/dataset/dataset1_templates/128/img_2_001.png,TM_CCOEFF_NORMED,2,0.012999534606933594
../storage/dataset/dataset1/img_2.png ../storage/dataset/dataset1_templates/128/img_2_002.png,SIFT,146,0.136000394821167
../storage/dataset/dataset1/img_2.png ../storage/dataset/dataset1_templates/128/img_2_002.png,TM_CCOEFF_NORMED,1,0.014998674392700195
../storage/dataset/dataset1/img_20.png ../storage/dataset/dataset1_templates/128/img_20_001.png,SIFT,46,0.27699923515319824
../storage/dataset/dataset1/img_20.png ../storage/dataset/dataset1_templates/128/img_20_001.png,TM_CCOEFF_NORMED,1,0.04399871826171875
../storage/dataset/dataset1/img_20.png ../storage/dataset/dataset1_templates/128/img_20_002.png,SIFT,161,0.30704402923583984
../storage/dataset/dataset1/img_20.png ../storage/dataset/dataset1_templates/128/img_20_002.png,TM_CCOEFF_NORMED,1,0.045000553131103516
../storage/dataset/dataset1/img_3.png ../storage/dataset/dataset1_templates/128/img_3_001.png,SIFT,183,0.704033613204956
../storage/dataset/dataset1/img_3.png ../storage/dataset/dataset1_templates/128/img_3_001.png,TM_CCOEFF_NORMED,1,0.09999823570251465
../storage/dataset/dataset1/img_3.png ../storage/dataset/dataset1_templates/128/img_3_002.png,SIFT,110,0.6786367893218994
../storage/dataset/dataset1/img_3.png ../storage/dataset/dataset1_templates/128/img_3_002.png,TM_CCOEFF_NORMED,1,0.10203075408935547
../storage/dataset/dataset1/img_4.png ../storage/dataset/dataset1_templates/128/img_4_001.png,SIFT,0,0.4433894157409668
../storage/dataset/dataset1/img_4.png ../storage/dataset/dataset1_templates/128/img_4_001.png,TM_CCOEFF_NORMED,12,0.12000513076782227
../storage/dataset/dataset1/img_4.png ../storage/dataset/dataset1_templates/128/img_4_002.png,SIFT,31,0.37499499320983887
../storage/dataset/dataset1/img_4.png ../storage/dataset/dataset1_templates/128/img_4_002.png,TM_CCOEFF_NORMED,1,0.091033935546875
../storage/dataset/dataset1/img_5.png ../storage/dataset/dataset1_templates/128/img_5_001.png,SIFT,22,0.4940223693847656
../storage/dataset/dataset1/img_5.png ../storage/dataset/dataset1_templates/128/img_5_001.png,TM_CCOEFF_NORMED,1,0.100128173828125
../storage/dataset/dataset1/img_5.png ../storage/dataset/dataset1_templates/128/img_5_002.png,SIFT,110,0.5189988613128662
../storage/dataset/dataset1/img_5.png ../storage/dataset/dataset1_templates/128/img_5_002.png,TM_CCOEFF_NORMED,3,0.10299825668334961
../storage/dataset/dataset1/img_6.png ../storage/dataset/dataset1_templates/128/img_6_001.png,SIFT,203,0.40000152587890625
../storage/dataset/dataset1/img_6.png ../storage/dataset/dataset1_templates/128/img_6_001.png,TM_CCOEFF_NORMED,1,0.04700493812561035
../storage/dataset/dataset1/img_6.png ../storage/dataset/dataset1_templates/128/img_6_002.png,SIFT,250,0.42400074005126953
../storage/dataset/dataset1/img_6.png ../storage/dataset/dataset1_templates/128/img_6_002.png,TM_CCOEFF_NORMED,1,0.049040794372558594
../storage/dataset/dataset1/img_7.png ../storage/dataset/dataset1_templates/128/img_7_001.png,SIFT,160,0.3060014247894287
../storage/dataset/dataset1/img_7.png ../storage/dataset/dataset1_templates/128/img_7_001.png,TM_CCOEFF_NORMED,1,0.04900074005126953
../storage/dataset/dataset1/img_7.png ../storage/dataset/dataset1_templates/128/img_7_002.png,SIFT,159,0.3149986267089844
../storage/dataset/dataset1/img_7.png ../storage/dataset/dataset1_templates/128/img_7_002.png,TM_CCOEFF_NORMED,1,0.048998117446899414
../storage/dataset/dataset1/img_8.png ../storage/dataset/dataset1_templates/128/img_8_001.png,SIFT,40,0.41000890731811523
../storage/dataset/dataset1/img_8.png ../storage/dataset/dataset1_templates/128/img_8_001.png,TM_CCOEFF_NORMED,1,0.09602880477905273
../storage/dataset/dataset1/img_8.png ../storage/dataset/dataset1_templates/128/img_8_002.png,SIFT,1,0.40197205543518066
../storage/dataset/dataset1/img_8.png ../storage/dataset/dataset1_templates/128/img_8_002.png,TM_CCOEFF_NORMED,1,0.09699892997741699
../storage/dataset/dataset1/img_9.png ../storage/dataset/dataset1_templates/128/img_9_001.png,SIFT,54,0.07699751853942871
../storage/dataset/dataset1/img_9.png ../storage/dataset/dataset1_templates/128/img_9_001.png,TM_CCOEFF_NORMED,1,0.010999441146850586
../storage/dataset/dataset1/img_9.png ../storage/dataset/dataset1_templates/128/img_9_002.png,SIFT,185,0.08199715614318848
../storage/dataset/dataset1/img_9.png ../storage/dataset/dataset1_templates/128/img_9_002.png,TM_CCOEFF_NORMED,1,0.010000228881835938
