Image number;Picture;Method;Execution time (s);Valid match
1;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;SIFT;0.11596846580505371;True
1;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;ORB;0.13000702857971191;False
1;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_CCOEFF_NORMED;0.009972572326660156;False
1;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_CCORR_NORMED;0.007000923156738281;False
1;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_SQDIFF;0.0070037841796875;False
2;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;SIFT;0.11396622657775879;True
2;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;ORB;0.1409895420074463;False
2;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_CCOEFF_NORMED;0.009999513626098633;False
2;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_CCORR_NORMED;0.006998300552368164;False
2;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_SQDIFF;0.008002758026123047;False
3;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;SIFT;0.11699652671813965;False
3;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;ORB;0.13700056076049805;False
3;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_CCOEFF_NORMED;0.009998559951782227;False
3;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_CCORR_NORMED;0.00800180435180664;False
3;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_SQDIFF;0.009968042373657227;False
4;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;SIFT;0.12299990653991699;False
4;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;ORB;0.017000913619995117;False
4;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;TM_CCOEFF_NORMED;0.010999441146850586;False
4;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;TM_CCORR_NORMED;0.007998943328857422;False
4;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;TM_SQDIFF;0.009000062942504883;False
