Image number;Picture;Method;Execution time (s);Valid match
1;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;SIFT;0.2219712734222412;False
1;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;ORB;0.03300118446350098;False
1;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_CCOEFF_NORMED;0.04700970649719238;True
1;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_CCORR_NORMED;0.03596854209899902;True
1;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_SQDIFF;0.03897547721862793;True
2;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;SIFT;0.21996521949768066;False
2;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;ORB;0.03306078910827637;False
2;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_CCOEFF_NORMED;0.04697751998901367;True
2;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_CCORR_NORMED;0.03400087356567383;True
2;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_SQDIFF;0.04697155952453613;True
3;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;SIFT;0.2349998950958252;False
3;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;ORB;0.03296804428100586;False
3;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_CCOEFF_NORMED;0.047998905181884766;True
3;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_CCORR_NORMED;0.03800344467163086;True
3;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_SQDIFF;0.038005828857421875;True
4;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;SIFT;0.2169649600982666;False
4;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;ORB;0.01099705696105957;False
4;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;TM_CCOEFF_NORMED;0.04799962043762207;True
4;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;TM_CCORR_NORMED;0.038027048110961914;True
4;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;TM_SQDIFF;0.039008378982543945;True
5;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;SIFT;0.22797417640686035;False
5;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;ORB;0.022004127502441406;False
5;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;TM_CCOEFF_NORMED;0.04799485206604004;True
5;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;TM_CCORR_NORMED;0.03597283363342285;True
5;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;TM_SQDIFF;0.03799629211425781;True
6;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;SIFT;0.22496628761291504;False
6;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;ORB;0.04599809646606445;False
6;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;TM_CCOEFF_NORMED;0.04899930953979492;True
