Image number;Picture;Method;Execution time (s);Valid match
1;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;SIFT;0.7490365505218506;True
1;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;ORB;0.1939699649810791;True
1;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_CCOEFF_NORMED;0.10999917984008789;False
1;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_CCORR_NORMED;0.08303046226501465;False
1;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_SQDIFF;0.0859673023223877;False
2;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;SIFT;0.7480359077453613;True
2;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;ORB;0.2219994068145752;True
2;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_CCOEFF_NORMED;0.11299657821655273;False
2;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_CCORR_NORMED;0.08699965476989746;False
2;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_SQDIFF;0.08902955055236816;False
3;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;SIFT;0.7580018043518066;True
3;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;ORB;0.21002936363220215;True
3;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_CCOEFF_NORMED;0.10303544998168945;False
3;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_CCORR_NORMED;0.07500243186950684;False
3;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_SQDIFF;0.08700132369995117;False
4;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;SIFT;0.7359881401062012;True
4;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;ORB;0.041970014572143555;False
